"COUNTRY","COUNTRY_GRP","AGE_GRP_LIST","SEX","YEAR","VALUE"
"ALB","","TOTAL","FEMALE","1987","11.66"
"ALB","","TOTAL","FEMALE","1988","9.25"
"ALB","","TOTAL","FEMALE","1989","9.38"
"ALB","","TOTAL","FEMALE","1992","5.49"
"ALB","","TOTAL","FEMALE","1993","7.44"
"ALB","","TOTAL","FEMALE","1994","0"
"ALB","","TOTAL","FEMALE","1995","0"
"ALB","","TOTAL","FEMALE","1996","0.05"
"ALB","","TOTAL","FEMALE","1997","0"
"ALB","","TOTAL","FEMALE","1998","0"
"ALB","","TOTAL","FEMALE","1999","0"
"ALB","","TOTAL","FEMALE","2000","0"
"ALB","","TOTAL","FEMALE","2001","0"
"ALB","","TOTAL","FEMALE","2002","0"
"ALB","","TOTAL","FEMALE","2003","0"
"ALB","","TOTAL","FEMALE","2004","0"
"ALB","","TOTAL","FEMALE","2005","3.9"
"ALB","","TOTAL","FEMALE","2006","3.41"
"ALB","","TOTAL","FEMALE","2007","5.09"
"ALB","","TOTAL","FEMALE","2008","3.66"
"ALB","","TOTAL","FEMALE","2009","3.32"
"ARM","","TOTAL","FEMALE","1991","8.77"
"ARM","","TOTAL","FEMALE","1992","10.16"
"ARM","","TOTAL","FEMALE","1993","13.8"
"ARM","","TOTAL","FEMALE","1994","12.16"
"ARM","","TOTAL","FEMALE","1995","13.06"
"ARM","","TOTAL","FEMALE","1996","12.8"
"ARM","","TOTAL","FEMALE","1997","12.95"
"ARM","","TOTAL","FEMALE","1998","12.79"
"ARM","","TOTAL","FEMALE","1999","11.6"
"ARM","","TOTAL","FEMALE","2000","10.95"
"ARM","","TOTAL","FEMALE","2001","9.33"
"ARM","","TOTAL","FEMALE","2002","13.46"
"ARM","","TOTAL","FEMALE","2003","13"
"ARM","","TOTAL","FEMALE","2012","14.23"
"ARM","","TOTAL","FEMALE","2013","14.45"
"ARM","","TOTAL","FEMALE","2014","15.92"
"ARM","","TOTAL","FEMALE","2015","14.43"
"ARM","","TOTAL","FEMALE","2016","17.42"
"ARM","","TOTAL","FEMALE","2017","14.74"
"ARM","","TOTAL","FEMALE","2018","11.2"
"ARM","","TOTAL","FEMALE","2019","8.31"
"AUT","","TOTAL","FEMALE","1969","13.82"
"AUT","","TOTAL","FEMALE","1970","13.01"
"AUT","","TOTAL","FEMALE","1971","13.61"
"AUT","","TOTAL","FEMALE","1972","12.62"
"AUT","","TOTAL","FEMALE","1973","12.74"
"AUT","","TOTAL","FEMALE","1974","14.36"
"AUT","","TOTAL","FEMALE","1975","14.08"
"AUT","","TOTAL","FEMALE","1976","13.56"
"AUT","","TOTAL","FEMALE","1977","14.8"
"AUT","","TOTAL","FEMALE","1978","13.78"
"AUT","","TOTAL","FEMALE","1979","14.04"
"AUT","","TOTAL","FEMALE","1980","14.32"
"AUT","","TOTAL","FEMALE","1981","13.69"
"AUT","","TOTAL","FEMALE","1982","13.02"
"AUT","","TOTAL","FEMALE","1983","15.24"
"AUT","","TOTAL","FEMALE","1984","13.61"
"AUT","","TOTAL","FEMALE","1985","14.43"
"AUT","","TOTAL","FEMALE","1986","13.27"
"AUT","","TOTAL","FEMALE","1987","13.31"
"AUT","","TOTAL","FEMALE","1988","11.72"
"AUT","","TOTAL","FEMALE","1989","13.2"
"AUT","","TOTAL","FEMALE","1990","13.31"
"AUT","","TOTAL","FEMALE","1991","14.04"
"AUT","","TOTAL","FEMALE","1992","14.63"
"AUT","","TOTAL","FEMALE","1993","13.65"
"AUT","","TOTAL","FEMALE","1994","13.06"
"AUT","","TOTAL","FEMALE","1995","12.74"
"AUT","","TOTAL","FEMALE","1996","12.65"
"AUT","","TOTAL","FEMALE","1997","11.42"
"AUT","","TOTAL","FEMALE","1998","11.35"
"AUT","","TOTAL","FEMALE","1999","10.31"
"AUT","","TOTAL","FEMALE","2000","10.69"
"AUT","","TOTAL","FEMALE","2001","10.51"
"AUT","","TOTAL","FEMALE","2002","9.03"
"AUT","","TOTAL","FEMALE","2003","8.06"
"AUT","","TOTAL","FEMALE","2004","9.25"
"AUT","","TOTAL","FEMALE","2005","7.81"
"AUT","","TOTAL","FEMALE","2006","7.15"
"AUT","","TOTAL","FEMALE","2007","7.97"
"AUT","","TOTAL","FEMALE","2008","6.85"
"AUT","","TOTAL","FEMALE","2009","7.29"
"AUT","","TOTAL","FEMALE","2010","6.71"
"AUT","","TOTAL","FEMALE","2011","6.61"
"AUT","","TOTAL","FEMALE","2012","7.08"
"AUT","","TOTAL","FEMALE","2013","6.32"
"AUT","","TOTAL","FEMALE","2014","5.93"
"AUT","","TOTAL","FEMALE","2015","6.14"
"AUT","","TOTAL","FEMALE","2016","5.94"
"AUT","","TOTAL","FEMALE","2017","5.85"
"AUT","","TOTAL","FEMALE","2018","5.21"
"AUT","","TOTAL","FEMALE","2019","5.77"
"AUT","","TOTAL","FEMALE","2020","5.78"
"AUT","","TOTAL","FEMALE","2021","6"
"AZE","","TOTAL","FEMALE","1991","23.65"
"AZE","","TOTAL","FEMALE","1992","30.13"
"AZE","","TOTAL","FEMALE","1993","28.65"
"AZE","","TOTAL","FEMALE","1994","29.8"
"AZE","","TOTAL","FEMALE","1995","35.43"
"AZE","","TOTAL","FEMALE","1996","35.91"
"AZE","","TOTAL","FEMALE","1997","36.63"
"AZE","","TOTAL","FEMALE","1998","37.26"
"AZE","","TOTAL","FEMALE","1999","38.99"
"AZE","","TOTAL","FEMALE","2000","39.32"
"AZE","","TOTAL","FEMALE","2007","9.59"
"BEL","","TOTAL","FEMALE","1968","7.34"
"BEL","","TOTAL","FEMALE","1969","7.43"
"BEL","","TOTAL","FEMALE","1970","7.65"
"BEL","","TOTAL","FEMALE","1971","8.04"
"BEL","","TOTAL","FEMALE","1972","7.86"
"BEL","","TOTAL","FEMALE","1973","8.65"
"BEL","","TOTAL","FEMALE","1974","9.6"
"BEL","","TOTAL","FEMALE","1975","8.83"
"BEL","","TOTAL","FEMALE","1976","9.54"
"BEL","","TOTAL","FEMALE","1977","8.52"
"BEL","","TOTAL","FEMALE","1978","8.87"
"BEL","","TOTAL","FEMALE","1979","8.53"
"BEL","","TOTAL","FEMALE","1980","8.82"
"BEL","","TOTAL","FEMALE","1981","8.91"
"BEL","","TOTAL","FEMALE","1982","8.44"
"BEL","","TOTAL","FEMALE","1983","9.27"
"BEL","","TOTAL","FEMALE","1984","8.45"
"BEL","","TOTAL","FEMALE","1985","8.79"
"BEL","","TOTAL","FEMALE","1986","9.04"
"BEL","","TOTAL","FEMALE","1987","7.96"
"BEL","","TOTAL","FEMALE","1988","8.26"
"BEL","","TOTAL","FEMALE","1989","8.46"
"BEL","","TOTAL","FEMALE","1990","7.08"
"BEL","","TOTAL","FEMALE","1991","6.68"
"BEL","","TOTAL","FEMALE","1992","7.46"
"BEL","","TOTAL","FEMALE","1993","7.55"
"BEL","","TOTAL","FEMALE","1994","7.71"
"BEL","","TOTAL","FEMALE","1995","7.58"
"BEL","","TOTAL","FEMALE","1996","7.44"
"BEL","","TOTAL","FEMALE","1997","8.08"
"BEL","","TOTAL","FEMALE","1998","7.95"
"BEL","","TOTAL","FEMALE","1999","6.97"
"BEL","","TOTAL","FEMALE","2000","6.81"
"BEL","","TOTAL","FEMALE","2001","7.04"
"BEL","","TOTAL","FEMALE","2002","6.67"
"BEL","","TOTAL","FEMALE","2003","6.22"
"BEL","","TOTAL","FEMALE","2004","5.89"
"BEL","","TOTAL","FEMALE","2005","5.76"
"BEL","","TOTAL","FEMALE","2006","6.2"
"BEL","","TOTAL","FEMALE","2007","5.9"
"BEL","","TOTAL","FEMALE","2008","6.44"
"BEL","","TOTAL","FEMALE","2009","5.65"
"BEL","","TOTAL","FEMALE","2010","5.86"
